ncessch,leanm,schnam,mcity,mstate,fte,gslo,gshi,level,titlei,magnet,chartr,frelch,redlch,totfrl,member,am,asian,hisp,black,white,pacific,tr,toteth
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,OLYMPIC HIGH - INTL STUDY & GLOBAL ECON,CHARLOTTE,NC,26.34000015,09,12,3,1,2,2,225,32,257,403,3,31,141,184,35,1,8,403
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,PERFORMANCE LEARNING CENTER,CHARLOTTE,NC,9.329999924,09,12,3,1,2,2,51,5,56,137,1,2,13,45,69,0,7,137
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,OLYMPIC HIGH - RENAISSANCE SCHOOL,CHARLOTTE,NC,27.95999908,09,12,3,1,2,2,206,42,248,531,0,29,111,199,178,0,14,531
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,WINGET PARK ELEMENTARY,CHARLOTTE,NC,53.22000122,KG,05,1,1,2,2,317,75,392,985,5,51,178,323,393,7,28,985
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,BAILEY MIDDLE,CORNELIUS,NC,73.87999725,06,08,2,2,2,2,265,51,316,1572,5,32,128,152,1209,1,45,1572
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,HIGHLAND CREEK ELEMENTARY,CHARLOTTE,NC,62.5,KG,05,1,2,2,2,229,53,282,1191,4,88,79,434,551,0,35,1191
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,OLYMPIC HIGH-MATH ENG TECH SCIENCE,CHARLOTTE,NC,29.88999939,09,12,3,1,2,2,175,48,223,549,1,42,87,194,199,0,26,549
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,J.V. WASHAM ELEMENTARY,CORNELIUS,NC,56.02000046,KG,05,1,2,2,2,154,45,199,1078,0,39,82,99,833,0,25,1078
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,OLYMPIC HIGH -INTL BUS & COMM STUDIES,CHARLOTTE,NC,23,09,12,3,1,2,2,206,43,249,384,3,8,72,255,37,0,9,384
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,OLYMPIC HIGH - BIOTECH HEALTH PUB ADMIN,CHARLOTTE,NC,28.26000023,09,12,3,1,2,2,221,52,273,497,2,35,109,265,73,1,12,497
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,ARDREY KELL HIGH,CHARLOTTE,NC,123.6600037,09,12,3,2,2,2,217,72,289,2512,7,334,178,325,1605,0,63,2512
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,CATO MIDDLE COLLEGE HIGH,CHARLOTTE,NC,6,11,12,3,2,2,2,53,19,72,205,0,15,18,104,65,0,3,205
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,WHITEWATER ACADEMY,CHARLOTTE,NC,42.18000031,PK,05,1,1,2,2,527,59,586,699,3,42,131,434,83,0,6,699
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,BARNETTE ELEMENTARY,HUNTERSVILLE,NC,36.20999908,KG,05,1,2,2,2,102,20,122,628,6,15,42,101,438,3,23,628
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,BALLANTYNE ELEMENTARY,CHARLOTTE,NC,45.50999832,KG,05,1,2,2,2,106,21,127,847,3,135,83,139,467,1,19,847
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,POLO RIDGE ELEMENTARY,CHARLOTTE,NC,53.56999969,KG,05,1,2,2,2,39,13,52,1023,4,227,55,62,653,0,22,1023
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,CROFT COMMUNITY ELEMENTARY,CHARLOTTE,NC,37.52999878,KG,05,1,1,2,2,230,53,283,704,6,39,47,339,249,0,24,704
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,MG DAVIS MILITARY & GLOBAL LEAD ACADEMY,CHARLOTTE,NC,53,KG,12,4,1,1,2,490,60,550,690,7,11,240,349,59,0,24,690
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,BEREWICK ELEMENTARY,CHARLOTTE,NC,38.40000153,PK,05,1,1,2,2,325,64,389,709,3,64,164,326,140,2,10,709
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,RIDGE ROAD MIDDLE,CHARLOTTE,NC,71.13999939,06,08,2,1,2,2,603,138,741,1449,1,60,147,900,287,1,53,1449
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,RIVER GATE ELEMENTARY,CHARLOTTE,NC,44.29000092,KG,05,1,1,2,2,266,68,334,863,6,45,205,275,308,2,22,863
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,RIVER OAKS ACADEMY,CHARLOTTE,NC,33.52999878,PK,05,1,1,2,2,391,65,456,625,5,21,61,444,75,2,17,625
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,STONEY CREEK ELEMENTARY,CHARLOTTE,NC,51.5,KG,05,1,1,2,2,500,81,581,867,3,58,160,538,101,1,6,867
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,WHITEWATER MIDDLE,CHARLOTTE,NC,49.27999878,06,08,2,1,2,2,728,59,787,927,10,70,187,551,79,0,30,927
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,DILWORTH ELEMENTARY,CHARLOTTE,NC,32.63999939,KG,05,1,2,2,2,109,13,122,609,0,11,9,135,437,0,17,609
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,ROCKY RIVER HIGH,MINT HILL,NC,95.41000366,09,12,3,1,2,2,981,169,1150,1692,10,64,342,1035,183,3,55,1692
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,WILLIAM AMOS HOUGH HIGH,CORNELIUS,NC,109.6500015,09,12,3,2,2,2,323,81,404,2246,11,41,141,258,1750,1,44,2246
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,GARINGER HIGH,CHARLOTTE,NC,90.08999634,09,12,3,1,2,2,1116,67,1183,1394,6,121,452,741,53,1,20,1394
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,GRAND OAK ELEMENTARY,HUNTERSVILLE,NC,33.20000076,KG,05,1,2,2,2,35,5,40,596,3,29,19,22,510,3,10,596
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,WINGET PARK RELIEF ELEMENTARY,CHARLOTTE,NC,,,,,,,2,,,,,,,,,,,,
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,LONG CREEK MONTESSORI,HUNTERSVILLE,NC,,,,,,,2,,,,,,,,,,,,
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,HARPER MIDDLE COLLEGE HIGH,CHARLOTTE,NC,,,,,,,2,,,,,,,,,,,,
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,UNCC-EPIC,CHARLOTTE,NC,,,,,,,2,,,,,,,,,,,,
3.70297E+11,CHARLOTTE-MECKLENBURG SCHOOLS,LEVINE MIDDLE COLLEGE HIGH,MATTHEWS,NC,,,,,,,2,,,,,,,,,,,,
